,編號,品名,商品連結,價格,頁數
0,1,Python機器學習超進化：AI影像辨識跨界應用實戰（附100分鐘影像處理入門影音教學／範例程式）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVHE5,356,1
1,2,使用Python搜刮網路資料的12堂實習課,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVS0R,411,1
2,3,Python最強入門邁向頂尖高手之路：王者歸來（第二版）全彩版,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVGGK,726,1
3,4,Python for DevOps：學習精準有效的自動化,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AX3WA,702,1
4,5,Python×Network一拍即合：自動化、程式化和DevOps的一站式解決方案,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AS358,616,1
5,6,精通 Python：運用簡單的套件進行現代運算（第二版）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AOIWM,792,1
6,7,決心打底！Python 深度學習基礎養成,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AQLZ0,545,1
7,8,Python機器學習第三版（下）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVS0N,411,1
8,9,Python 自動化的樂趣：搞定重複瑣碎&單調無聊的工作（第二版）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ATU9I,537,1
9,10,深度學習的數學地圖：用 Python 實作神經網路的數學模型（附數學快查學習地圖）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ANJ54,458,1
10,11,Python+TensorFlow 2.x人工智慧、機器學習、大數據：超炫專案與完全實戰,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVXOZ,427,1
11,12,Flags 創客‧自造者工作坊：用 Python 學 AIoT 智慧連網,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AQLXS,1342,1
12,13,Python程式交易應用與實作：從零開始！自動化投資實戰指南,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AUWIR,395,1
13,14,Python機器學習第三版（上）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AUWJL,490,1
14,15,練好深度學習的基本功：用Python進行基礎數學理論的實作,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ASP4I,442,1
15,16,創客‧自造者工作坊 Python 黑科技：電話按鍵竊聽器、雷射／風速傳訊器,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ATLUQ,868,1
16,17,東京大學資料科學家養成全書：使用Python動手學習資料分析,https://24h.m.pchome.com.tw/prod/DJAK1S-A900AP8A0,616,1
17,18,用Excel學Python資料分析,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AOV9E,356,1
18,19,Python資料可視化之美：極專業圖表製作高手書（全彩印刷）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVNLV,616,1
19,20,Flags 創客‧自造者工作坊 Python 感測器大應用：智慧生活X雲端,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AJNGJ,789,1
20,21,物聯網實戰：使用樹莓派／Arduino／ESP8266 NodeMCU／Python／Node-RED打造安全監控系統,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ABYLO,395,2
21,22,進階程式設計：使用Python、C++,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AVHDY,277,2
22,23,Django從平凡到超凡：Python架站實作演練,https://24h.m.pchome.com.tw/prod/DJAV0S-A900AL1WI,342,2
23,24,Python 程式遊戲設計：雷切外殼復古街機,https://24h.m.pchome.com.tw/prod/DJAA2V-A900APGM4,1026,2
24,25,STP行銷策略之Python商業應用實戰：網路爬蟲x機器學習x數據分析,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AUYCF,411,2
25,26,Flags 創客?自造者工作坊：學 Python 玩創客,https://24h.m.pchome.com.tw/prod/DJAA2V-A9009OEO1,679,2
26,27,Python初學特訓班（第四版）從快速入門到主流應用全面實戰（附250分鐘影音教學／範例程式）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AR5J1,379,2
27,28,人工智慧Python基礎課：用Python分析了解你的資料,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ATU9E,427,2
28,29,Python大數據特訓班（第二版）資料自動化收集、整理、清洗、儲存、分析與應用實戰（附300分鐘影音教學／範例程式）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AOIXK,411,2
29,30,新手村逃脫！初心者的 Python 機器學習攻略（iT邦幫忙鐵人賽系列書）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ATLVN,395,2
30,31,矽谷工程師爬蟲手冊：用Python成為進階高手,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AM97O,703,2
31,32,機器學習（彩色圖解＋基礎數學篇＋Python實作）王者歸來（全彩）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900ATH46,435,2
32,33,打造股市小秘書：聊天機器人╳網路爬蟲╳NoSQLxPython整合應用實務,https://24h.m.pchome.com.tw/prod/DJAA2V-A900A8V8B,300,2
33,34,全圖解步驟教學：你的第一本Python入門課,https://24h.m.pchome.com.tw/prod/DJAA2V-A900A6S54,363,2
34,35,Python最強入門邁向數據科學之路：王者歸來（全彩印刷第二版）,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AFHJ6,790,2
35,36,AIOT與OpenCV實戰應用：Python、樹莓派、物聯網與機器視覺,https://24h.m.pchome.com.tw/prod/DJAA2V-A900AIFIG,379,2
