,標題,期刊,年分,連結
0,[PDF][PDF] Scikit-learn: Machine learning in Python, the Journal of machine …,['2011'],http://www.jmlr.org/papers/volume12/pedregosa11a/pedregosa11a.pdf
1,[書籍][B] Learning to learn, ,['2012'],https://www.google.com/books?hl=zh-TW&lr=&id=X_jpBwAAQBAJ&oi=fnd&pg=PA4&dq=machine+learn&ots=gWMc-ZChwt&sig=1gmUh3eJzMOciL4vWVcCOeH9YDs
2,A multi-fidelity information-fusion approach to machine learn and predict polymer bandgap, Computational Materials …,['2020'],https://www.sciencedirect.com/science/article/pii/S0927025619305853
3,What Does the Machine Learn? Knowledge Representations of Chemical Reactivity, Journal of Chemical …,['2020'],https://pubs.acs.org/doi/abs/10.1021/acs.jcim.9b00721
4,Can You Teach Me To Machine Learn?, ,"['50', '2019']",https://dl.acm.org/doi/abs/10.1145/3287324.3287392
5,Why should machines learn?, Machine learning,['1983'],https://www.sciencedirect.com/science/article/pii/B9780080510545500066
6,[HTML][HTML] Machine learning for neuroimaging with scikit-learn, Frontiers in …,['2014'],https://www.frontiersin.org/articles/10.3389/fninf.2014.00014/full
7,Can a machine learn through customer sentiment?: A cost-aware approach to predict support ticket escalations, IEEE Software,['2019'],https://ieeexplore.ieee.org/abstract/document/8737665/
8,Can machine learn steganography?-implementing LSB substitution and matrix coding steganography with feed-forward neural networks, ,"['1606', '05294', '2016']",https://arxiv.org/abs/1606.05294
9,Probabilistic machine learning and artificial intelligence, Nature,['2015'],https://www.nature.com/articles/nature14541
